Date,Predicted_Sales
2025-01-01,1894.3836326792662
2025-01-02,1949.4558181559842
2025-01-03,1938.3304934258922
2025-01-04,1940.5779591706814
2025-01-05,1940.1239407580579
2025-01-06,1940.215658604924
2025-01-07,1940.1971303620085
2025-01-08,1940.2008733171388
2025-01-09,1940.20011718967
2025-01-10,1940.2002699376317
2025-01-11,1940.2002390804992
2025-01-12,1940.2002453140449
2025-01-13,1940.2002440547803
2025-01-14,1940.200244309177
2025-01-15,1940.2002442577796
2025-01-16,1940.2002442681696
2025-01-17,1940.2002442660742
2025-01-18,1940.2002442664816
2025-01-19,1940.2002442663943
2025-01-20,1940.2002442664234
2025-01-21,1940.2002442664234
2025-01-22,1940.2002442664234
2025-01-23,1940.2002442664234
2025-01-24,1940.2002442664234
2025-01-25,1940.2002442664234
2025-01-26,1940.2002442664234
2025-01-27,1940.2002442664234
2025-01-28,1940.2002442664234
2025-01-29,1940.2002442664234
2025-01-30,1940.2002442664234
